#1=α 2=ρ 3=ϕ 4=q0 5=δq 6=qh0 7=δqh 8=ρh
1.7 0.69 -0.0010286114009671055 2.171898466483058 27.75167181118309 0.0022018916083688697 0.0360338651596849 0.02486336696018258
1.7 0.7 -0.0011005301308143062 2.162723178917295 26.338756080994102 0.0024112017723986346 0.03796686513686933 0.02657680559580853
1.7 0.71 -0.001177047907975931 2.1532613481401834 24.99500330807039 0.002639713238282172 0.04000799630529034 0.028405677376756137
1.7 0.72 -0.0012584298805826746 2.143490735509268 23.71930504157257 0.0028885087915491593 0.04215975123416604 0.03035502088859955
1.7 0.73 -0.0013449529182217798 2.133398211019423 22.505041181823326 0.0031600617494277885 0.044434488785013694 0.03243717681305999
1.7 0.74 -0.0014369089728453743 2.122957559474338 21.350963253836373 0.0034557649466871515 0.046836294368139034 0.03465885783242288
1.7 0.75 -0.0015346036726469128 2.1121417602980856 20.25451807072474 0.0037773522237193706 0.049371700501991675 0.03702877537649375
1.7 0.76 -0.001638355293690448 2.100932653221479 19.209181004422696 0.004128355173800874 0.052058440168259196 0.03956441452787699
1.7 0.77 -0.0017484984955868504 2.08929264332369 18.21421536930169 0.0045104994009206876 0.054902172820763054 0.042274673071987554
1.7 0.78 -0.001865382255027949 2.077179090729785 17.268354192592792 0.004925548338454139 0.05790939824647256 0.045169330632248594
1.7 0.79 -0.0019893673230059333 2.0645612772524835 16.36570067306901 0.0053781434336927945 0.06110340277978902 0.04827168819603333
1.7 0.8 -0.0021208305544766215 2.051401818441224 15.505839356258202 0.005870297509934546 0.06449183285240197 0.051593466281921574
1.7 0.81 -0.002260227450932621 2.0379941580093117 14.682351619822942 0.006410376531098262 0.06810898048851245 0.05516827419569509
1.7 0.82 -0.0024080278221101717 2.0238606817967506 13.891475148098689 0.007003363729588731 0.0719865953283492 0.05902900816924634
1.7 0.83 -0.0025646698366645834 2.009029173156862 13.141067380956251 0.00764460665571221 0.07609731926716838 0.06316077499174975
1.7 0.84 -0.0027305907647161218 1.993384885228447 12.423311631608126 0.008343889897509267 0.08049383527140547 0.06761482162798059
1.7 0.85 -0.002906236774723646 1.9768018894768524 11.737463212852832 0.009104447338729614 0.08519728512588423 0.0724176923570016
1.7 0.86 -0.0030920511231037756 1.9591243080784873 11.082190610802282 0.009929770933001606 0.09023486737588302 0.07760198594325939
1.7 0.87 -0.0032884608739637486 1.9401825179195924 10.453309955452474 0.010828811455924797 0.09566347924835018 0.08322722694606466
1.7 0.88 -0.003495866666353903 1.9197145334317554 9.849780040758445 0.011805155370405067 0.10152510978539565 0.08934209661114817
1.7 0.89 -0.006271808208006005 0.8834499705490465 1.7057639399922513 0.03139572767526639 0.586247590627659 0.5217603556586164
1.7 0.9 -0.0053492286564945715 0.8732721171847228 1.5101273981611623 0.027745029623188217 0.662195786406942 0.5959762077662478
1.7 0.91 -0.00443184609121711 0.8763017204176474 1.432272373497488 0.023496940070719917 0.6981912229152927 0.6353540128529164
1.7 0.92 -0.003568405893280127 0.8834935818838435 1.3837087474024692 0.01937355854435931 0.7226954385286815 0.664879803446387
1.7 0.93 -0.0027789189525362044 0.8927494250303214 1.347248617115527 0.015343369374957486 0.7422534989429125 0.6902957540169087
1.7 0.94 -0.0020743129533485703 0.9040127947529604 1.3185343392899989 0.011741391768577886 0.7584178661122148 0.7129127941454819
1.7 0.95 -0.0014620743292272434 0.916480201004097 1.2907619428881691 0.008391142790639057 0.7747361978789294 0.735999387984983
1.7 0.96 -0.0009488589460644381 0.9306191338445768 1.2685840418486507 0.005604364122161467 0.788280450495613 0.7567492324757885
1.7 0.97 -0.0005407667307454874 0.9458883502806901 1.2468770538942924 0.00320855639041077 0.8020036914439664 0.7779435807006474
1.7 0.98 -0.0002433246764247121 0.9627743959866477 1.227885626360895 0.0015748431960226107 0.8144081000147518 0.7981199380144568
1.7 0.99 -6.156457964847528e-5 0.9806439934147394 1.207791066730838 0.00037291514050997413 0.8279577714601981 0.8196781937455961
