#1=α 2=λ 3=Δ 4=ϕ 5=Σ 6=E 7=ρ 8=q0 9=q1 10=δq 11=ρh 12=qh0 13=qh1 14=δqh 15=m 
3.0 0.008137061629162322 0.0 -0.004065617393645077 7.772163581615403e-10 0.004065617423248557 0.9963384833141601 0.9926969968607953 0.9926969968684579 0.24924068120052567 3.9974954237441 0.00010662315249152054 0.00010662327584177555 4.004049051742349 26.25422252393328
3.0 0.009357620873536667 0.0 -0.004674856469618068 -1.560411316831193e-8 0.004674855875271267 0.9958044843942311 0.9916352817773182 0.991635281782949 0.2491276247714076 3.997166049798924 0.00014034798222203312 0.0001403480729482625 4.004649259806898 26.25422252393328
3.0 0.010761264004567169 0.0 -0.0053755280913737056 -1.5305183803291632e-8 0.005375527508412858 0.9951629579588159 0.9903608755803924 0.9903608755804674 0.24899652566132602 3.996694151887638 0.00018649714893716917 0.00018649715014596553 4.005359030622216 26.25422252393328
3.0 0.012375453605252242 0.0 -0.0061810302730499304 0.0 0.0061810302730499304 0.9944351229909809 0.9889164956148607 0.9889164956148617 0.24884692815405174 3.9961719855965807 0.0002467796156156207 0.0002467796156162206 4.0061591830005385 26.25422252393328
3.0 0.014231771646040076 0.0 -0.007107192428382799 0.0 0.007107192428382799 0.9935902692524702 0.9872418874236607 0.9872418874236608 0.24867518617551454 3.9955344340273684 0.00032769217412228563 0.00032769217412402345 4.007078176400716 26.25422252393328
3.0 0.01636653739294609 0.0 -0.008171702421191657 0.0 0.008171702421191657 0.992639443778625 0.9853597302842794 0.9853597302842804 0.2484780726176261 3.9948774285051964 0.0004318813571684654 0.0004318813571690601 4.008133449528928 26.25422252393328
3.0 0.018821518001888 0.0 -0.009395488274996823 0.0 0.009395488274996823 0.9915407319998261 0.9831881934179226 0.9831881934179227 0.24825190487338844 3.994091132978439 0.00057067611758041 0.0005706761175821916 4.009344954718657 26.25422252393328
3.0 0.021644745702171196 0.0 -0.010801983897259317 1.5424755562962898e-8 0.010801984484774546 0.9902922948131491 0.980725058994458 0.9807250589944584 0.2479924875702757 3.9932350552856075 0.0007517011752977586 0.0007517011753031301 4.0107354678985025 26.25422252393328
3.0 0.024891457557496874 0.0 -0.012418600172653088 -1.5305183780519724e-8 0.012418599589692242 0.9888567383401191 0.9778983956675195 0.9778983956675196 0.24769504660987707 3.992234612174432 0.0009901205992616966 0.0009901205992634112 4.012330980624787 26.25422252393328
3.0 0.028625176191121406 0.0 -0.014276799101156793 -1.5305183780519724e-8 0.014276798518195946 0.9871976834171663 0.9746392372285113 0.9746392372285123 0.24735415839761288 3.9910292586643155 0.0013070570762097047 0.0013070570762103288 4.014161112416707 26.25422252393328
