#1=α 2=ρ 3=ϕ 4=q0 5=δq 6=qh0 7=δqh 8=ρh 
1.7 0.96 -0.001081907436075633 0.9242431356416246 0.7815064547187772 0.004327671748192408 1.2795799624711315 1.2283967639722861
1.7 0.97 -0.0006145996727526617 0.9423254646695054 0.7614632547410471 0.0024584340141485784 1.3132610060613794 1.273863175879538
1.7 0.98 -0.0002756189058049402 0.9610100328053469 0.743851239939663 0.0011025061173203289 1.3443548203013205 1.317467723895294
1.7 0.99 -6.947332227433411e-5 0.980247390844684 0.7282408053819194 0.0002779204393914421 1.3731721603756588 1.3594404387719021
1.7 1.0 -2.2207834863185403e-17 1.0000000000000007 0.7142769269488228 1.280053335183668e-15 1.4000172233921941 1.4000172233921941
2.0 0.0 -0.01810587418548998 1.981894125617773 5.2306612164941315 0.07243813593041147 0.1911804184233238 0.0
2.0 0.01 -0.018107536519076123 1.9818306868959317 5.230192012603095 0.07244515870761417 0.1911975693416836 0.001911975693416836
2.0 0.02 -0.018112535586676554 1.9816402931172994 5.228863437485289 0.07246404162644668 0.19124614975236928 0.0038249229950473858
2.0 0.03 -0.018120871091754365 1.981322869303217 5.226580532205726 0.07249743476038556 0.19132968368861603 0.005739890510658481
2.0 0.04 -0.018132543461560707 1.9808783198021567 5.22337292214776 0.0725445516399975 0.19144717693042246 0.007657887077216898
2.0 0.05 -0.01814755565580145 1.9803063445474387 5.219272285359467 0.07260455320811958 0.19159759164224693 0.009579879582112347
2.0 0.06 -0.018165901430115566 1.9796066220055835 5.214236495522101 0.07267866571242255 0.19178263219529518 0.01150695793171771
2.0 0.07 -0.018187582972718663 1.9787788101657675 5.208350006367781 0.07276460258582258 0.1919993853672257 0.0134399569757058
2.0 0.08 -0.018212604656795556 1.977822525033931 5.201521170937918 0.07286500070872326 0.19225145243803438 0.01538011619504275
2.0 0.09 -0.018240978960943066 1.9767372529818836 5.193799141834734 0.07297857829011566 0.19253728777173032 0.01732835589945573
2.0 0.1 -0.018272679380036738 1.9755223424819872 5.185187008273739 0.0731053459230176 0.19285707504943425 0.019285707504943427
2.0 0.11 -0.018307728387217143 1.9741771408241087 5.175687503589727 0.07324533752023167 0.1932110467075968 0.021253215137835648
2.0 0.12 -0.018346117377757376 1.9727010575240573 5.16530240210052 0.07339862999866514 0.19359950728022052 0.023231940873626462
2.0 0.13 -0.01838785090844952 1.9710932216902801 5.154034437974006 0.0735652762931614 0.1940227625628922 0.025222959133175987
2.0 0.14 -0.018432930472900705 1.969352683732622 5.14184718034846 0.07374646321227676 0.19448263725570905 0.02722756921579927
2.0 0.15 -0.0184813573860651 1.9674784987009544 5.128834373272216 0.0739396610947378 0.19497607589187874 0.02924641138378181
2.0 0.16 -0.018533128633296175 1.965469750795332 5.114909815947072 0.07414751650151014 0.19550686834834077 0.031281098935734525
2.0 0.17 -0.01858823966926404 1.963325146055008 5.100172092674775 0.07436734346355311 0.19607181519154424 0.03333220858256252
2.0 0.18 -0.018646703742437598 1.961043552514301 5.084534802438405 0.0746018368976836 0.19667482647978476 0.03540146876636126
2.0 0.19 -0.018708514612242128 1.9586236550655167 5.068095742954641 0.07484832239634519 0.1973127680924614 0.03748942593756767
2.0 0.2 -0.018773664785154076 1.956064121202895 5.050769717266177 0.07510950552150973 0.19798962454801217 0.039597924909602435
2.0 0.21 -0.018842147310581675 1.9533631239526943 5.0326573146177935 0.07538259192762489 0.198702184052034 0.041727458650927134
2.0 0.22 -0.01891398934449856 1.9505194778218056 5.013670300861733 0.07567043840617053 0.19945467890621432 0.04388002935936715
2.0 0.23 -0.018989179712943227 1.9475314193980675 4.993863464942387 0.07597162335323224 0.20024576302899316 0.04605652549666843
2.0 0.24 -0.01906768105103479 1.9443968372962446 4.973291138369503 0.07628468761038638 0.2010740920202493 0.048257782084859834
2.0 0.25 -0.019149526026458696 1.9411139259632495 4.951869294916143 0.07661242188645559 0.20194394085212508 0.05048598521303127
