#1=α 2=ρ 3=ϕ 4=Σ 5=E 6=q0 7=q1 8=δq 9=qh0 10=qh1 11=δqh 12=ρh 13=m 
2.0 0.66 -0.04706614939916709 1.4615029539944174e-5 0.04706836177764919 0.8066254427815996 1.190286809534074 0.7568450018643906 0.03425018852674196 0.18826793317106014 1.3212744981292444 0.2005273306631139 6.606025893934377
2.0 0.65 -0.047699620861326425 -9.865290405567513e-5 0.04768442395766907 0.80627144927816 1.2165226460218195 0.7590685365351915 0.03276749096367436 0.19069367054869166 1.3174040970852943 0.1899322091691856 6.491645027172762
2.0 0.64 -0.04829596206317449 -9.574226613764154e-5 0.04828096819586378 0.8055836346017271 1.2420388898288177 0.761097478581731 0.03145556325864086 0.1930809429895319 1.3138921467240365 0.1803807084677088 6.3854283990646605
2.0 0.63 -0.04885844725836033 -9.811149990952755e-5 0.048842847811936436 0.80453490800966 1.2668895247671585 0.7629895329306002 0.030249521074193212 0.19532409538114412 1.3106339691962188 0.17161850602132045 6.289421896358831
2.0 0.62 -0.049389968008851065 -9.843228341608732e-5 0.04937409732349347 0.8031647114775534 1.2910600647150638 0.7647328141926577 0.029142332460719872 0.1974461905196456 1.3076462542747296 0.16355687533908814 6.20214446939193
2.0 0.61 -0.049893080050167765 -9.739035613749519e-5 0.04987717272337012 0.8014877608881859 1.3145643809328003 0.766348052823588 0.02812110262687498 0.1994566628193972 1.3048901165932745 0.1561065684149708 6.1223584186314115
2.0 0.6 -0.0503700512593748 -9.54423943397739e-5 0.050354273191831514 0.7995177260867387 1.3374184238604363 0.7678523800007993 0.02717498616218412 0.20136403237058784 1.3023336594971033 0.14919274980096375 6.049054745008774
2.0 0.59 -0.05082290088315858 -9.778213158491406e-5 0.0508065541249336 0.7973058020326589 1.359658061487844 0.7692375953961603 0.026296421493728756 0.20317432841698843 1.2999884638828612 0.14275050695089497 5.981744529353371
2.0 0.58 -0.051253432942514 -9.537013713354885e-5 0.051237320753240494 0.7948024780418474 1.3812688382664111 0.7705525555090045 0.025475422804820586 0.20489840169002346 1.2977700130258194 0.1367304412985827 5.919129642448688
2.0 0.57 -0.05166326354099876 -9.204904400917364e-5 0.051647557653009275 0.7920246401118523 1.402275425716704 0.7718027300337029 0.02470483025011684 0.20653945543847027 1.2956678709290554 0.13108391527538732 5.860798451561489
2.0 0.56 -0.05205384551865916 -8.8520912962277e-5 0.052038600029382286 0.7890001298174455 1.4227031192151918 0.7729861556025215 0.023980140166162303 0.20810407643789827 1.2936842306322145 0.12577207836983476 5.806367467429249
2.0 0.55 -0.05242648817513848 -8.501367451248102e-5 0.05241171712316678 0.7857378801899811 1.4425691324353471 0.7741103190884067 0.0232963842076563 0.20959718708413175 1.2918055415894745 0.12076093426960367 5.755424507025704
2.0 0.54 -0.05278237472636338 -8.157893610377038e-5 0.0527680817260098 0.7822468198651531 1.4618904887159405 0.7751814268793389 0.022649336589483166 0.21102342592227427 1.2900205878586568 0.1160211079809237 5.707614502601981
2.0 0.53 -0.053122577119806114 -7.824994471980903e-5 0.053108758466363266 0.7785353622689032 1.4806836237020686 0.7762048039058458 0.022035335076890483 0.21238701372050525 1.288319777161931 0.11152701590311231 5.662631677062037
2.0 0.52 -0.05344806879372793 -7.504505294227766e-5 0.05343471608288258 0.7746114187233301 1.4989643040135319 0.7771850578616029 0.021451191385915017 0.21369179548091918 1.2866948352705911 0.10725627603136445 5.620211042645092
