#1=α 2=λ 3=Δ 4=ϕ 5=Σ 6=E 7=ρ 8=q0 9=q1 10=δq 11=ρh 12=qh0 13=qh1 14=δqh 15=m 
2.0 0.0 0.0 -0.059995460164943004 3.2709661696627856e-6 0.05999613908201125 0.05 0.4790072995469891 1.9356964010372975 0.8020502407698977 0.006393651270927636 0.007791614173669295 0.24003547251724963 1.2468046877463517 4.817917125164436
2.0 0.0 0.0 -0.059984129363861494 3.5654413347478373e-6 0.05998486915655663 0.055 0.48083571709393286 1.9348094966762366 0.8019690917119155 0.007042779933293081 0.007834634558113975 0.23999088061895965 1.2469308485011052 4.819514112776299
2.0 0.0 0.0 -0.05997172626188557 3.3918858800945853e-6 0.059972429789656945 0.06 0.4828064735710232 1.9338393292207308 0.801888602441748 0.007694590276959969 0.007881178688282614 0.23993966471393907 1.2470560087211655 4.821253713233323
2.0 0.0 0.0 -0.059958252357071806 3.614577388407849e-6 0.05995900178191881 0.065 0.4849128447103047 1.9327867397388334 0.8017950391688746 0.008349296928324583 0.007931151382647043 0.23988624970407135 1.2472015305015849 4.823135238774047
2.0 0.0 0.0 -0.059943709167045056 3.8396535009324445e-6 0.05994450492346516 0.07 0.4871593498760931 1.931651922475773 0.8016946612396292 0.009007148366074413 0.00798471113831906 0.23982857076187825 1.24735768909043 4.825161825808285
2.0 0.0 0.0 -0.059928098140779096 4.082533710726005e-6 0.059928943854748166 0.075 0.4895232343585537 1.9304351171210283 0.8015887358778957 0.009668269462500417 0.008041350695435667 0.2397665688899275 1.2475225202669615 4.827322073457198
2.0 0.0 0.0 -0.059911420708987584 4.3290756891581105e-6 0.059912317067765154 0.08 0.49201400410344237 1.9291368324432063 0.8014763274190226 0.010332928308133767 0.008101362414606126 0.2397003293335253 1.2476974874857236 4.82962380408908
2.0 0.0 0.0 -0.05989367819350744 4.025871814147386e-6 0.05989451135234464 0.085 0.49460615038022443 1.9277570853831862 0.801365318461698 0.011001194450977877 0.008164142180619654 0.23962752907128662 1.2478703245101748 4.832057987504306
2.0 0.0 0.0 -0.05987487181022205 4.1858562794112094e-6 0.05987573761740813 0.09 0.4973108980320464 1.9262967831724513 0.8012418694950489 0.011673366661384528 0.008230066761672351 0.2395525900466778 1.2480625864324981 4.834628710318964
2.0 0.0 0.0 -0.05985500265058191 4.375122022819383e-6 0.059855907099696334 0.095 0.5001202197746859 1.9247560923640645 0.801112793616825 0.012349608320749638 0.008298982786014247 0.23947340819123294 1.248263675187671 4.8373335249648415
2.0 0.0 0.0 -0.05983407163943655 4.563482912210866e-6 0.05983501447553864 0.1 0.5030169401659873 1.9231352542109306 0.800978776980497 0.013030017705117136 0.008370508729250695 0.2393899477850905 1.2484725297838306 4.840165647109831
2.0 0.0 0.0 -0.05981207954018375 4.750967142474647e-6 0.05981306051116433 0.105 0.506001222181336 1.9214346897118992 0.8008395883713266 0.013714798432738913 0.008444707214487385 0.23930224346844928 1.2486895185010851 4.843127102163425
2.0 0.0 0.0 -0.05978902691394228 4.934988913903455e-6 0.05979004523180073 0.11 0.5090670315641759 1.9196547390971301 0.8006954064180878 0.014404110506561872 0.00852148134759248 0.2392102852824826 1.2489143711633128 4.846216604115243
2.0 0.0 0.0 -0.05976491410518253 5.11764688653671e-6 0.05976596941356435 0.115 0.5122085621795277 1.9177957294295864 0.8005464032966589 0.015098111487052193 0.008600739903005552 0.23911407829853376 1.249146827569256 4.849432615811593
2.0 0.0 0.0 -0.05973974123094716 5.286548664800844e-6 0.05974083061699233 0.12 0.5154264668712009 1.9158580870511397 0.8003923126190293 0.01579700613364964 0.008682559130701602 0.23901363703829795 1.2493873119893135 4.852778028752656
2.0 0.0 0.0 -0.05971350815188031 4.82766094410817e-6 0.05971450226610771 0.125 0.5186935255244558 1.9138415827572786 0.8002409052974677 0.016500735588380888 0.008766247554636163 0.23890663699633477 1.2496236987889 4.856243690180158
