#1=α 2=ϕ 3=q0 4=qh0 
1.5 -1.1711119449446474 0.11 0.1235955056179788
1.5 -1.1703466604361847 0.12 0.13636363636363769
1.5 -1.1695327596331198 0.13 0.14942528735632318
1.5 -1.1686716106115413 0.14 0.16279069767442003
1.5 -1.167764545060813 0.15 0.17647058823529554
1.5 -1.1668126778379593 0.16 0.19047619047619196
1.5 -1.1658171813257567 0.17 0.20481927710843528
1.5 -1.1647788239962182 0.18 0.21951219512195275
1.5 -1.163698571734887 0.19 0.23456790123456953
1.5 -1.1625771237599105 0.2 0.25000000000000167
1.5 -1.1614150005787371 0.21 0.2658227848101283
1.5 -1.160212985489111 0.22 0.2820512820512838
1.5 -1.158971384182992 0.23 0.29870129870130047
1.5 -1.1576906328751044 0.24 0.3157894736842123
1.5 -1.1563711149953222 0.25 0.33333333333333515
1.5 -1.1550130554297884 0.26 0.3513513513513532
1.5 -1.153616713166023 0.27 0.36986301369863195
1.5 -1.1521822357790759 0.28 0.3888888888888907
1.5 -1.1507096471588683 0.29 0.40845070422535384
1.5 -1.149199002888289 0.3 0.42857142857143027
1.5 -1.147650282518873 0.31 0.44927536231884224
1.5 -1.1460633198918948 0.32 0.4705882352941192
1.5 -1.144438096368003 0.33 0.49253731343283735
1.5 -1.1427742205984508 0.34 0.5151515151515165
1.5 -1.1410713992172514 0.35 0.5384615384615394
1.5 -1.1393293750485736 0.36 0.5625000000000007
1.5 -1.1375476949756955 0.37 0.5873015873015877
1.5 -1.1357259736796206 0.38 0.6129032258064516
1.5 -1.133863507454742 0.39 0.6393442622950813
1.5 -1.131959688008911 0.4 0.6666666666666653
1.5 -1.130013906087479 0.41 0.6949152542372856
1.5 -1.1280252865543405 0.42 0.7241379310344792
1.5 -1.1259929768909884 0.43 0.7543859649122762
1.5 -1.123916060203224 0.44 0.785714285714279
1.5 -1.121793451245083 0.45 0.8181818181818095
1.5 -1.1196239520554248 0.46 0.8518518518518408
1.5 -1.117406290065553 0.47 0.8867924528301742
1.5 -1.1151392498140862 0.48 0.9230769230769048
1.5 -1.112821129566171 0.49 0.9607843137254674
1.5 -1.110450333304378 0.5 0.9999999999999714
1.5 -1.108025358497819 0.51 1.040816326530577
1.5 -1.105543856480937 0.52 1.0833333333332882
1.5 -1.1030040328383937 0.53 1.1276595744680287
1.5 -1.100403489387386 0.54 1.1739130434781915
1.5 -1.0977398301481953 0.55 1.2222222222221317
1.5 -1.0950102274854823 0.56 1.2727272727271621
1.5 -1.0922120057330342 0.57 1.3255813953486943
1.5 -1.0893416829489218 0.58 1.3809523809522029
1.5 -1.0863960422543064 0.59 1.4390243902436852
1.5 -1.0833711214933262 0.6 1.4999999999997184
1.5 -1.0802631023637592 0.61 1.5641025641022075
1.5 -1.0770669355702407 0.62 1.6315789473679705
1.5 -1.0737781871836953 0.63 1.702702702702124
1.5 -1.0703912865198755 0.64 1.7777777777770496
1.5 -1.0669002771107468 0.65 1.8571428571418949
1.5 -1.0632987326324908 0.66 1.9411764705870074
1.5 -1.0595791358056563 0.67 2.0303030303014187
1.5 -1.0557338414990527 0.68 2.124999999997862
1.5 -1.0517539235848323 0.69 2.2258064516100733
1.5 -1.0476295047153457 0.7 2.3333333333295516
1.5 -1.0433496475381325 0.71 2.4482758620638094
1.5 -1.0389022490820647 0.72 2.5714285714215634
1.5 -1.0342735105392022 0.73 2.703703703694104
1.5 -1.0294479945061428 0.74 2.8461538461404783
1.5 -1.0244082940392576 0.75 2.9999999999811133
