1:α 2:λ 3:ρ_r 4:E_r 5:E_l0 6:ρ_l 7:E_l
2.975 0.5387692689884073 0.8832187249015648 0.23821266291605564 -1 1 -1
2.975 0.6195846593366683 0.8684420512271543 0.2694561467330065 -1 1 -1
2.975 0.7125223582371686 0.8521505342657113 0.30419785532984756 -1 1 -1
2.975 0.8194007119727437 0.8342726530550064 0.34268305815849764 -1 1 -1
2.975 0.9423108187686552 0.8147522832573444 0.38514088532180285 -1 1 -1
2.975 1.0836574415839535 0.7935527410183235 0.43177606348680936 -1 1 -1
2.95 0.001 0.9997436738038126 0.0004998718394603727 -1 1 -1
2.95 0.00115 0.999705239366464 0.0005748305165280407 -1 1 -1
2.95 0.0013224999999999999 0.9996610444364464 0.0006610258715524558 -1 1 -1
2.95 0.0015208749999999999 0.9996102264437858 0.0007601411105713481 -1 1 -1
2.95 0.0017490062499999994 0.9995517939166325 0.000874111181067616 -1 1 -1
2.95 0.0020113571874999995 0.9994846073101085 0.001005160295169725 -1 1 -1
2.95 0.002313060765624999 0.9994073569877524 0.001155845004814092 -1 1 -1
2.95 0.0026600198804687487 0.9993185379850669 0.0013291036371141454 -1 1 -1
2.95 0.003059022862539061 0.9992164210824357 0.0015283130115456753 -1 1 -1
2.95 0.0035178762919199197 0.9990990196207632 0.0017573534884817602 -1 1 -1
2.95 0.004045557735707907 0.9989640515205631 0.002020683542364503 -1 1 -1
2.95 0.004652391396064093 0.9988088958157575 0.0023234252138498567 -1 1 -1
2.95 0.005350250105473706 0.9986305428813431 0.0026714619747720747 -1 1 -1
2.95 0.006152787621294761 0.9984255375881523 0.003071550738766014 -1 1 -1
2.95 0.0070757057644889754 0.9981899144071635 0.003531449969446551 -1 1 -1
2.95 0.008137061629162322 0.9979191233076444 0.004060066077258694 -1 1 -1
2.95 0.009357620873536667 0.9976079454029778 0.004667620554447566 -1 1 -1
2.95 0.010761264004567169 0.9972503970155512 0.005365840573013932 -1 1 -1
2.95 0.012375453605252242 0.996839620610118 0.006168176058906231 -1 1 -1
2.95 0.014231771646040076 0.9963677612725867 0.007090046550667073 -1 1 -1
2.95 0.01636653739294609 0.9958258270647673 0.00814912144247914 -1 1 -1
2.95 0.018821518001888 0.9952035313514596 0.009365637485774729 -1 1 -1
2.95 0.021644745702171196 0.9944891156759007 0.010762757660385537 -1 1 -1
2.95 0.024891457557496874 0.9936691514060113 0.012366975698044807 -1 1 -1
2.95 0.028625176191121406 0.9927283182288784 0.014208570611022176 -1 1 -1
2.95 0.03291895261978962 0.9916491585796015 0.016322115498122316 -1 1 -1
2.95 0.03785679551275806 0.9904118068942968 0.01874704460575253 -1 1 -1
2.95 0.043535314839671754 0.988993692701231 0.021528282033031865 -1 1 -1
2.95 0.05006561206562252 0.9873692190997805 0.024716934485826434 -1 1 -1
2.95 0.05757545387546589 0.9855094168796624 0.02837104898213565 -1 1 -1
2.95 0.06621177195678576 0.9833815786063514 0.03255643424254333 -1 1 -1
2.95 0.07614353775030362 0.9809488778134274 0.03734754149353407 -1 1 -1
2.95 0.08756506841284915 0.9781699802773988 0.04282839637678956 -1 1 -1
2.95 0.10069982867477653 0.9749986610736628 0.04909356839140958 -1 1 -1
2.95 0.11580480297599301 0.9713834402977226 0.056249157599069316 -1 1 -1
2.95 0.13317552342239194 0.9672672613432929 0.06441377002463802 -1 1 -1
2.95 0.15315185193575073 0.9625872345936566 0.07371944318275797 -1 1 -1
2.95 0.1761246297261133 0.9572744833463079 0.08431247146789722 -1 1 -1
2.95 0.2025433241850303 0.9512541268811672 0.09635406795819636 -1 1 -1
2.95 0.23292482281278482 0.9444454515867312 0.1100207849594694 -1 1 -1
2.95 0.26786354623470254 0.9367623174745047 0.12550460115661027 -1 1 -1
2.95 0.3080430781699079 0.9281138570201577 0.14301256976436974 -1 1 -1
2.95 0.35424953989539404 0.9184055247499774 0.16276591125943798 -1 1 -1
2.95 0.4073869708797031 0.9075405459585486 0.18499842825989382 -1 1 -1
2.95 0.46849501651165854 0.8954218092426989 0.20995412136817768 -1 1 -1
2.95 0.5387692689884073 0.8819542323863245 0.2378838959001855 -1 1 -1
2.95 0.6195846593366683 0.8670475985556074 0.26904127273954614 -1 1 -1
2.95 0.7125223582371686 0.8506198353220452 0.30367705373170906 -1 1 -1
2.95 0.8194007119727437 0.8326006724176311 0.3420329434924937 -1 1 -1
2.95 0.9423108187686552 0.8129355601131211 0.38433419399084645 -1 1 -1
2.95 1.0836574415839535 0.7915897008215597 0.43078141256580504 -1 1 -1
2.925 0.001 0.999740346138736 0.0004998701757459842 -1 1 -1
2.925 0.00115 0.9997014129545193 0.0005748283165204433 -1 1 -1
2.925 0.0013224999999999999 0.9996566445956023 0.0006610229624306953 -1 1 -1
2.925 0.0015208749999999999 0.9996051673313933 0.0007601372638480851 -1 1 -1
2.925 0.0017490062499999994 0.9995459768686688 0.0008741060946726889 -1 1 -1
2.925 0.0020113571874999995 0.9994779189364718 0.0010051535697768199 -1 1 -1
2.925 0.002313060765624999 0.9993996669829792 0.0011558361125547625 -1 1 -1
2.925 0.0026600198804687487 0.9993096966350512 0.0013290918802525233 -1 1 -1
2.925 0.003059022862539061 0.9992062563747692 0.0015282974678867021 -1 1 -1
2.925 0.0035178762919199197 0.9990873339622992 0.0017573329392761845 -1 1 -1
2.925 0.004045557735707907 0.9989506179879197 0.0020206563771077166 -1 1 -1
2.925 0.004652391396064093 0.9987934538205758 0.0023233893046171674 -1 1 -1
2.925 0.005350250105473706 0.9986127932574336 0.002671414510371074 -1 1 -1
2.925 0.006152787621294761 0.9984051369933937 0.003071488005929549 -1 1 -1
2.925 0.0070757057644889754 0.9981664688686962 0.0035313670642640985 -1 1 -1
2.925 0.008137061629162322 0.9978921809311829 0.0040599565247574155 -1 1 -1
2.925 0.009357620873536667 0.9975769880971188 0.004667475807332587 -1 1 -1
2.925 0.010761264004567169 0.9972148309885367 0.005365649351535718 -1 1 -1
2.925 0.012375453605252242 0.996798765693104 0.006167923482052914 -1 1 -1
2.925 0.014231771646040076 0.9963208388736406 0.007089712993556363 -1 1 -1
2.925 0.01636653739294609 0.9957719464236505 0.008148681034883335 -1 1 -1
2.925 0.018821518001888 0.9951416742279138 0.009365056140984544 -1 1 -1
2.925 0.021644745702171196 0.994418119240844 0.010761990490324372 -1 1 -1
2.925 0.024891457557496874 0.9935876889148954 0.012365963627799102 -1 1 -1
2.925 0.028625176191121406 0.992634877789824 0.014207235951262602 -1 1 -1
2.925 0.03291895261978962 0.9915420198057503 0.01632035616422605 -1 1 -1
2.925 0.03785679551275806 0.9902890149618897 0.018744726584399272 -1 1 -1
2.925 0.043535314839671754 0.9888530305780114 0.021525229586398357 -1 1 -1
