#1=α 2=ρ 3=δq 4=qh0 5=δqh 6=ρh 7=ϕ 
3.0 0.27 1.558139333237066 0.3818686382895328 0.6417911278335293 0.17328360451505292 -0.01620908615786537
3.0 0.28 1.6474006531112888 0.33958147576189257 0.6070168772310459 0.16996472562469286 -0.012370947576557323
3.0 0.3 1.926928573525473 0.24508128598300105 0.5189605954985754 0.15568817864957263 -0.0055296916788213635
3.0 0.302 1.96922753108573 0.2343552036759433 0.5078133350332817 0.15335962718005108 -0.004916561954843551
3.0 0.304 2.0162993905484408 0.2232424524825946 0.49595809267590785 0.15077126017347597 -0.004318520105563967
3.0 0.306 2.069307476121452 0.21166672247675433 0.4832534611406913 0.14787555910905154 -0.003736427031987649
3.0 0.308 2.1298967178061345 0.1995247342335143 0.4695063341052677 0.14460795090442244 -0.003171339607045215
3.0 0.31 2.2005023954963394 0.1866709279271369 0.45444167752175646 0.1408769200317445 -0.0026245770008094527
3.0 0.312 2.2849542337675572 0.17288895651589123 0.4376455270839913 0.13654540445020527 -0.002097853833189972
3.0 0.314 2.389799541862037 0.1578325324671048 0.41844513838212544 0.13139177345198738 -0.001593486491922369
3.0 0.316 2.5276914242636113 0.14088471301841846 0.39561791063611673 0.12501525976101288 -0.001114848748484859
3.0 0.318 2.728586469458574 0.12073253877106216 0.3664901263687741 0.11654386018527016 -0.0006674189711803058
3.0 0.32 3.100932434209314 0.09334654056927014 0.3224836468437866 0.10319476699001172 -0.00026227513696289173

2.5 0.0 1.1604071479323057 0.7426414909442464 0.8617664944428081 0.0 -0.07801347869489478
2.5 0.01 1.1865605303496085 0.7101936298913616 0.8427720073457692 0.008427720073457693 -0.07192276649334145
2.5 0.02 1.2143182977028595 0.6778930308900467 0.8235073142616001 0.016470146285232003 -0.0660190963915478
2.5 0.03 1.243905530677241 0.6457050177814054 0.8039195705284409 0.024117587115853226 -0.06030237207482364
2.5 0.04 1.275596575869621 0.6135894484328306 0.7839469146569817 0.03135787658627927 -0.05477286166582446
2.5 0.05 1.3097285238108436 0.5815008213195919 0.7635170051045053 0.03817585025522527 -0.049431216186772375
2.5 0.06 1.346722816479787 0.5493856133119486 0.7425432967816722 0.04455259780690033 -0.044278560095828035
2.5 0.07 1.3871147241290027 0.5171802864090608 0.7209209033722284 0.05046446323605599 -0.03931656586758159
2.5 0.08 1.4315983710679088 0.4848073452736338 0.6985199342285117 0.055881594738280936 -0.034547585969260275
2.5 0.09 1.4810955044862446 0.45217001788706546 0.6751759065981875 0.060765831593836875 -0.02997480981558731
2.5 0.1 1.5368664095850475 0.4191437132803897 0.6506746414413462 0.06506746414413463 -0.0256025272313552
2.5 0.11 1.600697537397803 0.385562183288679 0.6247276431908957 0.06872004075099852 -0.021436424068095206
2.5 0.12 1.6752394490023501 0.3511938571712872 0.5969295915252752 0.07163155098303303 -0.017484185256507856
